_dbt_source_relation,appuiscommunssupp__src_name,appuiscommunssupp__src_id,appuiscommunssupp__Id,geometry,osmpowersupports__utility,osmpowersupports__nature,appuiscommunssupp__TypePhysique,appuiscommunssupp__Nature,appuiscommunssupp__Gestionnaire,appuiscommunssupp__Materiau,appuiscommunssupp__HauteurAppui,appuiscommunssupp__CodeExterne,osmpowersupports__line_attachment,osmpowersupports__line_management,osmpowersupports__transition,appuiscommunssupp__commune_insee_id,fdrcommune__insee_id,appuiscommunssupp__fdrcommune__insee_id,appuiscommunssupp__commune_nom,appuiscommunssupp__fdrcommune__nom
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154028,d09982ec-46a0-5a72-a7da-27076e7cb445,POINT (0.6514814 47.4822627000576),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/5528573744,223735d0-369e-54e6-912c-b57c03153634,POINT (0.6481917 47.4907889000557),power,tower,APPUI,,RTE,,23,101,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154038,e3b17ed1-757a-51d4-a258-0a20c68e8e61,POINT (0.6462229 47.4931968000552),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154041,f6013021-8445-5dc2-8143-d238625d24d2,POINT (0.643322 47.4968056000544),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/5528573745,5be37867-2bb1-5367-a526-08d47e2a5b42,POINT (0.6419722 47.498505600054),power,tower,APPUI,,RTE,,18,97,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/5528573746,9c61d1cc-4043-5e92-bab0-ead1c71440d4,POINT (0.6366056 47.5020056000532),power,tower,APPUI,,RTE,,18,95,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154043,d29c2dfc-332c-5afc-bee8-148310ca0bcf,POINT (0.6399773 47.5009733000534),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154046,433caf48-b16d-5c4d-b254-2211c2faf238,POINT (0.6301141 47.5039936000527),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154045,f3ac4d7c-b182-5cb8-8431-859115ec43a5,POINT (0.6331772 47.503042600053),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154047,0296fe72-ef23-50cb-b40c-5b88e21b5269,POINT (0.627452 47.5047775000526),power,tower,APPUI,,,,,,,,,37206,37206,37206,Saint-Antoine-du-Rocher,Saint-Antoine-du-Rocher
