X,Y,osm_id,utility,nature,operator,material,height,reference,line_attachment,line_management,transition,com_insee,com_nom
0.6514814,47.4822627000576,node/1323154028,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6481917,47.4907889000557,node/5528573744,power,tower,RTE,,23,101,,,,37206,Saint-Antoine-du-Rocher
0.6462229,47.4931968000552,node/1323154038,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.643322,47.4968056000544,node/1323154041,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6419722,47.498505600054,node/5528573745,power,tower,RTE,,18,97,,,,37206,Saint-Antoine-du-Rocher
0.6366056,47.5020056000532,node/5528573746,power,tower,RTE,,18,95,,,,37206,Saint-Antoine-du-Rocher
0.6399773,47.5009733000534,node/1323154043,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6301141,47.5039936000527,node/1323154046,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6331772,47.503042600053,node/1323154045,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.627452,47.5047775000526,node/1323154047,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6242354,47.5057919000523,node/1323154049,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6209419,47.5067833000521,node/1323154050,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6050293,47.511635900051,node/1323154055,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6020942,47.5125061000508,node/1323154056,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.610825,47.5098611000514,node/5528573748,power,tower,RTE,,18,87,,,,37206,Saint-Antoine-du-Rocher
0.6081028,47.5106861000513,node/5528573747,power,tower,RTE,,20,86,,,,37206,Saint-Antoine-du-Rocher
0.6143465,47.5087832000517,node/1323154053,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6179471,47.5077169000519,node/1323154051,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.6239804,47.5271436000475,node/1000014330,power,tower,RTE,,,,,,,37206,Saint-Antoine-du-Rocher
0.6211984,47.5306441000468,node/1000014305,power,tower,RTE,,,,,,,37206,Saint-Antoine-du-Rocher
0.617513,47.5304757000468,node/1000014358,power,tower,,,,,,,,37206,Saint-Antoine-du-Rocher
0.4278741,47.5119451000509,node/9413080368,,pole,,,,,,,,37251,Souvigné
0.4262766,47.5125185000508,node/9413080366,,pole,,,,,,,,37251,Souvigné
0.4275241,47.5120776000509,node/9413080367,,pole,,,,,,,,37251,Souvigné
0.4250729,47.5129542000507,node/9413080365,,pole,,,,,,,,37251,Souvigné
0.4239007,47.5133750000506,node/9413080363,,pole,,,,,,,,37251,Souvigné
0.5172466,47.4662183000612,node/1323154008,power,tower,,,,,,,,37182,Pernay
0.528983,47.4733250000596,node/1323154010,power,tower,,,,,,,,37182,Pernay
0.5234453,47.4699981000604,node/1323154009,power,tower,,,,,,,,37182,Pernay
0.503662,47.457971400063,node/1323154005,power,tower,,,,,,,,37182,Pernay
0.5119994,47.4630263000619,node/1323154007,power,tower,,,,,,,,37182,Pernay
0.5077492,47.4604836000625,node/1323154006,power,tower,,,,,,,,37182,Pernay
0.498877,47.4551037000637,node/1323154004,power,tower,,,,,,,,37182,Pernay
0.4905307,47.4500307000648,node/1323154002,power,tower,,,,,,,,37182,Pernay
0.4949331,47.4527469000642,node/1323154003,power,tower,,,,,,,,37182,Pernay
0.4869306,47.4477934000653,node/1323154001,power,tower,,,,,,,,37182,Pernay
0.3788902,47.4179420000719,node/9420425345,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3781137,47.4190427000717,node/9420425346,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3807691,47.4169778000721,node/9420425344,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3825554,47.4160429000723,node/9420425343,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3821313,47.4155868000725,node/1323153984,power,tower,,,,,,,,37081,Cléré-les-Pins
0.3839257,47.4154535000725,node/9420425341,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3838436,47.4153641000725,node/9420425342,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3970863,47.4165291000723,node/9394360667,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.4024722,47.417913000072,node/9394360662,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3982544,47.4167378000722,node/9394360666,power,pole,Enedis,,,,,,,37081,Cléré-les-Pins
0.3967215,47.4170082000721,node/9394360668,power,pole,Enedis,,,,anchor,,,37081,Cléré-les-Pins
0.3953407,47.4190699000717,node/1323153986,power,tower,,,,,,,,37081,Cléré-les-Pins
0.3894538,47.417505000072,node/1323153985,power,tower,,,,,,,,37081,Cléré-les-Pins
0.4010972,47.4205660000713,node/1323153987,power,tower,,,,,,,,37081,Cléré-les-Pins
0.3488225,47.4511357000646,node/8746750517,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3493785,47.4509197000646,node/8746749717,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3447134,47.4466881000655,node/8752711320,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3437067,47.4462732000656,node/8753035318,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3452782,47.4469194000655,node/8752697628,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3449605,47.4478324000653,node/8752713422,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3464342,47.4473183000654,node/8752713124,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3479711,47.4474344000654,node/8752719925,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3492693,47.4474906000654,node/8752711727,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3505775,47.4475342000654,node/8746807817,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3504852,47.4474465000654,node/8746919417,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.351076,47.4476079000654,node/8746796917,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3518094,47.4475277000654,node/8746863518,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3518424,47.4472698000654,node/8746848918,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3522781,47.4478247000653,node/8746863517,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3527304,47.4460644000657,node/8752702917,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3536689,47.444793500066,node/8752706117,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.352223,47.4507329000647,node/8746725417,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3521337,47.4502575000648,node/8746727117,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3520534,47.4499863000648,node/8746728117,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3511629,47.4493785000649,node/8746790217,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3510606,47.4480496000653,node/8746779319,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3512039,47.4481417000652,node/8746404019,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3512,47.4484818000651,node/8746791317,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3515065,47.4499596000648,node/8746731117,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.351126,47.4502583000647,node/8746413217,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3505312,47.4504519000647,node/8746742817,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3499446,47.4506927000647,node/8746745017,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3523619,47.4513411000645,node/8746712518,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3522165,47.4514077000645,node/8746718917,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.352849,47.4521964000643,node/8746700817,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.35259,47.4519110000644,node/8746707617,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3531778,47.4525419000643,node/8746698817,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3534558,47.4528116000642,node/8746671918,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3537928,47.4531342000641,node/8746680617,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3632939,47.4526162000642,node/8746515617,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3627583,47.453465500064,node/8746494618,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.363174,47.453491000064,node/8746494617,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3646014,47.453604800064,node/8746489717,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3636096,47.453522400064,node/8746316151,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3640537,47.453558900064,node/8746489718,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3635291,47.4479653000653,node/8736399124,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3633341,47.449029200065,node/8736399427,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3630745,47.4508679000646,node/8746554508,power,pole,,concrete,,,,,,37081,Cléré-les-Pins
0.3631794,47.4498882000648,node/8736399426,power,pole,Enedis,concrete,,,pin,,,37081,Cléré-les-Pins
0.3607578,47.4481465000652,node/8736500217,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.362406,47.4478314000653,node/8736504135,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3619398,47.4476138000653,node/8736502956,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3614459,47.4476942000653,node/8736502922,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3606805,47.4477402000653,node/8736482618,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3601623,47.4475660000653,node/8736487417,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3598442,47.4475257000654,node/8746465017,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3594466,47.4476334000653,node/8736482617,power,pole,Enedis,concrete,,,anchor,,yes,37081,Cléré-les-Pins
0.3608026,47.4454230000658,node/8736418824,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3625723,47.4462359000656,node/8736400088,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3639535,47.4467661000655,node/8736447417,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.363736,47.4467638000655,node/8736418825,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.363591,47.4475859000654,node/8736382817,power,pole,Enedis,concrete,,37081ER073,anchor,,yes,37081,Cléré-les-Pins
0.3653171,47.4467485000655,node/8740097382,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3669428,47.4467391000656,node/8740082936,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3592838,47.444739500066,node/8736418058,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3741432,47.4443645000661,node/8742534417,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3748009,47.4441203000661,node/8742540217,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3755764,47.4439342000662,node/8742544017,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3811656,47.4412630000668,node/8731154918,power,pole,Enedis,concrete,,,,,,37081,Cléré-les-Pins
0.3809148,47.4413343000667,node/8733081227,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.3837475,47.4404957000669,node/8731434817,power,pole,Enedis,concrete,,,anchor,,yes,37081,Cléré-les-Pins
0.3842037,47.4398420000671,node/8731438717,power,pole,Enedis,concrete,,,anchor,,yes,37081,Cléré-les-Pins
0.3856919,47.4399406000671,node/8742897417,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3963975,47.4406352000669,node/8757375918,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.398332,47.4407652000669,node/8757346918,power,pole,Enedis,,,,anchor,,yes,37081,Cléré-les-Pins
0.3983355,47.4407524000669,node/8757371917,power,pole,Enedis,,,,anchor,,,37081,Cléré-les-Pins
0.3983371,47.4411606000668,node/8756217217,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.4021299,47.4388488000673,node/8757324518,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.4025976,47.4391965000672,node/8757336317,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4036449,47.439980300067,node/8757318517,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.40311,47.4395786000671,node/8757330617,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4029176,47.4408339000668,node/8757323920,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4033639,47.440334600067,node/8757325618,power,pole,Enedis,metal,,,suspension,,,37081,Cléré-les-Pins
0.4045934,47.4414845000667,node/8757318519,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4038881,47.4414337000667,node/8757325617,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4032008,47.4413874000667,node/8757323918,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4025115,47.4413605000668,node/8757320717,power,pole,Enedis,concrete,,,anchor,split,yes,37081,Cléré-les-Pins
0.4021869,47.4415334000667,node/8757324517,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.4012884,47.4419368000666,node/8757322617,power,pole,Enedis,concrete,,,anchor,,,37081,Cléré-les-Pins
0.401808,47.4417189000667,node/8757323917,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
0.3805612,47.449032700065,node/8739872511,power,pole,Enedis,concrete,,,,,,37081,Cléré-les-Pins
0.3920959,47.4418409000666,node/8742931018,power,pole,Enedis,concrete,,,anchor,,yes,37081,Cléré-les-Pins
0.394256,47.4404916000669,node/8757375917,power,pole,Enedis,concrete,,,suspension,,,37081,Cléré-les-Pins
